time,AP,ARR,ARW,G,OP,ORR,ORW
6895.0,968.12,1058.42,1018.66,998.92,983.13,980.82,988.23
6892.0,959.9,1068.91,1016.83,998.84,981.55,980.47,989.27
6891.0,975.14,1066.3,1011.77,998.82,982.9,979.57,988.83
6890.0,984.36,1060.77,999.94,998.79,983.03,978.61,989.9
6889.0,980.63,1066.04,997.95,998.76,983.97,978.24,990.86
6888.0,985.21,1066.97,998.31,998.74,983.66,977.79,994.53
6885.0,985.24,1083.24,1007.4,998.66,983.47,977.48,994.57
6884.0,997.65,1092.28,1023.5,998.64,982.74,975.46,995.53
6883.0,1000.3,1092.9,1027.54,998.61,984.22,976.52,997.26
6882.0,984.38,1076.93,1022.27,998.58,985.1,976.57,995.72
6881.0,985.07,1072.19,1022.31,998.56,984.58,977.55,995.86
6878.0,973.3,1070.32,1026.34,998.48,983.33,977.12,995.16
6876.0,956.56,1063.29,988.35,998.43,983.18,978.9,991.71
6875.0,944.96,1051.52,970.05,998.4,984.3,980.28,992.74
6874.0,939.36,1041.27,968.64,998.38,985.11,981.62,994.48
6871.0,934.64,1044.23,973.1,998.3,985.49,981.48,996.64
6870.0,955.88,1055.78,981.85,998.28,983.34,978.95,996.01
6869.0,957.04,1047.41,985.56,998.25,984.23,977.97,996.4
6868.0,958.62,1068.81,992.5,998.22,983.0,976.59,996.39
6867.0,975.54,1078.03,1013.21,998.2,981.56,975.26,997.31
6864.0,977.71,1082.26,1002.65,998.12,981.03,974.46,998.28
6863.0,975.87,1083.26,1002.14,998.1,982.43,974.74,1000.51
6862.0,981.27,1095.01,1014.03,998.07,982.49,975.43,1003.31
6861.0,986.52,1095.81,1014.89,998.04,981.8,975.37,1002.17
6860.0,969.88,1078.75,1002.84,998.02,981.31,974.37,1000.29
6857.0,975.05,1082.7,1010.68,997.94,981.05,974.76,1000.01
6856.0,965.13,1073.93,986.97,997.92,979.42,974.58,997.8
6855.0,979.51,1094.68,1015.57,997.89,977.99,972.06,998.42
6854.0,997.7,1117.9,1023.28,997.86,978.77,972.81,999.68
6853.0,991.01,1120.17,1024.67,997.84,978.3,972.51,1001.07
6850.0,1006.05,1123.88,1029.49,997.76,978.21,972.89,1001.11
6849.0,1011.34,1130.47,1038.37,997.74,978.42,974.63,1003.89
6848.0,1019.01,1138.86,1061.13,997.71,979.89,977.34,1011.38
6847.0,1012.82,1138.86,1059.45,997.68,980.28,979.8,1011.97
6846.0,1014.8,1141.0,1071.52,997.66,980.13,979.05,1012.49
6843.0,1015.31,1139.06,1072.94,997.58,979.61,980.74,1014.02
6842.0,1025.57,1141.25,1075.83,997.56,979.19,981.52,1014.17
6841.0,1022.52,1141.42,1070.67,997.53,979.73,981.19,1009.6
6840.0,1016.36,1143.11,1066.69,997.51,978.4,979.33,1007.12
6839.0,1012.76,1142.51,1067.2,997.48,978.15,980.41,1007.16
6836.0,1001.96,1145.79,1075.52,997.4,979.15,982.14,1006.79
6835.0,1001.95,1143.75,1062.14,997.38,979.07,981.51,1004.24
6834.0,1000.12,1135.31,1056.73,997.35,979.66,981.03,999.75
6833.0,990.1,1132.73,1046.1,997.33,978.7,982.94,998.94
6832.0,982.29,1127.2,1042.92,997.3,977.95,984.38,1000.05
6829.0,992.29,1130.06,1054.04,997.22,977.89,984.11,1002.05
6828.0,990.11,1128.17,1043.98,997.2,977.94,985.42,1000.13
6827.0,979.66,1123.33,1031.8,997.17,977.58,985.64,994.42
6826.0,991.49,1120.97,1030.44,997.15,976.28,985.11,991.21
6825.0,995.4,1118.57,1037.68,997.12,976.4,986.46,993.49
6822.0,990.96,1116.22,1048.49,997.04,975.79,986.29,995.88
6821.0,1005.11,1119.21,1044.1,997.02,975.96,988.38,996.8
6820.0,1008.23,1123.05,1047.03,996.99,977.04,986.62,992.56
6819.0,1019.05,1127.76,1063.91,996.97,977.73,986.79,992.42
6818.0,1032.79,1132.69,1070.27,996.94,977.81,987.64,999.25
6815.0,1029.33,1133.68,1078.31,996.86,978.94,987.56,999.29
6814.0,1036.5,1136.47,1080.0,996.84,980.01,987.07,1001.61
6813.0,1045.86,1140.69,1091.39,996.81,978.92,986.24,1003.6
6812.0,1049.11,1136.77,1091.42,996.79,979.56,986.64,1005.91
6811.0,1042.98,1135.56,1090.01,996.76,979.12,988.12,1005.42
6808.0,1023.06,1126.92,1072.61,996.68,978.76,989.11,1004.96
6807.0,1025.78,1121.1,1070.78,996.66,978.35,989.44,1006.17
6806.0,1017.05,1124.2,1072.97,996.63,979.55,989.49,1006.12
6805.0,1012.52,1122.21,1067.11,996.61,979.7,989.79,1002.12
6804.0,997.31,1119.09,1057.23,996.58,980.08,990.26,1000.84
6801.0,992.25,1115.72,1047.21,996.5,978.97,988.39,1000.4
6800.0,1006.0,1112.37,1045.93,996.48,978.1,988.25,999.52
6798.0,1009.45,1114.9,1065.14,996.43,978.2,987.47,997.55
6797.0,1005.61,1110.19,1065.75,996.4,978.18,987.97,991.5
6794.0,1003.32,1116.02,1083.27,996.32,978.45,989.27,1000.72
6793.0,1031.32,1127.08,1098.04,996.3,979.89,986.49,1007.9
6792.0,1025.26,1127.8,1098.92,996.27,978.99,985.26,1009.72
6791.0,1022.32,1128.11,1098.94,996.25,978.67,985.32,1011.69
6790.0,1018.02,1123.66,1090.86,996.22,979.58,986.52,1013.01
6787.0,1015.97,1122.71,1093.02,996.14,979.14,985.35,1014.08
6786.0,1014.42,1119.0,1087.4,996.12,978.53,983.72,1011.96
6785.0,1026.55,1119.76,1105.02,996.09,977.6,983.84,1013.53
6784.0,1022.02,1121.52,1105.47,996.07,977.37,987.4,1017.33
6783.0,1028.84,1119.22,1107.89,996.04,976.24,985.06,1017.17
6780.0,1017.27,1122.87,1109.85,995.96,977.51,987.19,1018.99
6779.0,1021.68,1125.6,1106.92,995.94,978.21,987.3,1018.23
6778.0,1006.5,1125.48,1106.49,995.91,977.96,989.13,1013.92
6777.0,1000.88,1120.46,1098.57,995.89,976.97,988.16,1011.04
6776.0,986.6,1114.99,1088.6,995.86,976.28,987.87,1010.85
6773.0,978.64,1114.88,1089.01,995.79,976.03,991.86,1012.68
6772.0,966.45,1112.84,1080.38,995.76,977.4,994.14,1012.51
6771.0,963.9,1116.28,1087.67,995.73,977.62,992.93,1012.92
6770.0,964.69,1114.37,1089.36,995.71,978.33,993.34,1011.8
6769.0,959.77,1111.86,1088.69,995.68,976.28,992.37,1013.35
6766.0,966.67,1112.72,1093.54,995.61,975.36,993.74,1014.99
6765.0,967.8,1110.97,1088.56,995.58,975.43,992.6,1010.73
6764.0,965.45,1104.57,1083.22,995.55,975.62,992.29,1009.26
6763.0,973.8,1113.29,1093.52,995.53,974.54,991.61,1010.74
6762.0,963.3,1111.08,1092.72,995.5,975.14,992.38,1010.53
6759.0,964.43,1102.8,1077.39,995.43,975.22,993.06,1005.8
6758.0,968.1,1094.53,1072.15,995.4,974.69,992.81,1000.68
6757.0,971.97,1087.85,1072.58,995.38,973.48,992.73,995.65
6756.0,962.57,1087.8,1073.75,995.35,971.75,993.0,995.66
6755.0,949.55,1087.81,1075.12,995.32,973.99,992.04,991.62
6752.0,955.41,1091.22,1084.36,995.25,974.33,991.65,992.42
6751.0,942.22,1086.63,1063.46,995.22,973.73,990.68,991.77
6750.0,958.66,1084.9,1067.86,995.2,974.5,990.52,992.36
6749.0,961.09,1090.49,1081.97,995.17,974.07,987.93,992.46
6748.0,962.51,1089.17,1084.77,995.14,975.12,988.69,994.12
6745.0,965.13,1102.96,1098.88,995.07,975.36,988.57,996.35
6744.0,961.32,1098.74,1091.77,995.04,976.22,988.77,991.47
6743.0,964.15,1104.21,1103.58,995.02,974.89,988.76,989.08
6742.0,951.47,1101.25,1095.95,994.99,974.1,989.91,983.78
6741.0,960.78,1107.97,1114.85,994.97,973.82,988.37,988.35
6738.0,980.71,1111.88,1121.85,994.89,972.49,988.26,993.5
6737.0,996.18,1115.54,1132.6,994.86,973.21,986.45,994.7
6736.0,997.57,1114.51,1141.42,994.84,972.29,983.97,992.76
6735.0,1002.48,1116.9,1145.69,994.81,972.36,983.43,994.7
6734.0,997.44,1116.35,1144.59,994.79,970.83,983.35,997.42
6731.0,1003.2,1113.3,1140.92,994.71,970.4,983.12,999.62
6730.0,1010.19,1113.21,1153.75,994.68,971.11,983.15,1000.87
6729.0,1004.72,1112.64,1153.74,994.66,972.26,982.68,1001.06
6728.0,1004.72,1104.48,1148.53,994.63,972.91,987.33,1003.81
6727.0,989.78,1105.6,1150.52,994.61,973.36,987.38,1003.42
6724.0,983.72,1099.66,1135.5,994.53,972.91,987.99,1001.64
6722.0,972.93,1095.33,1119.41,994.48,972.27,987.73,1007.89
6721.0,983.01,1087.1,1131.56,994.45,971.11,989.26,1009.42
6720.0,990.29,1098.25,1141.13,994.43,972.66,986.6,1009.87
6717.0,989.15,1099.89,1140.8,994.35,971.96,987.23,1009.91
6716.0,988.18,1103.09,1139.03,994.32,971.62,985.49,1007.65
6715.0,985.33,1105.47,1137.03,994.3,971.07,983.61,1003.7
6714.0,1001.22,1108.19,1145.06,994.27,970.7,981.35,1000.14
6713.0,1007.12,1109.02,1139.99,994.25,968.44,981.23,995.86
6710.0,996.13,1104.27,1141.06,994.17,967.87,981.98,997.24
6709.0,1006.09,1106.32,1146.64,994.15,968.74,980.58,999.31
6708.0,1013.35,1104.85,1156.41,994.12,969.71,981.84,1002.12
6707.0,1012.24,1103.33,1152.04,994.09,968.81,982.77,1000.52
6706.0,1029.65,1110.77,1168.78,994.07,970.7,985.6,1006.48
6703.0,1030.96,1108.74,1164.82,993.99,971.36,987.16,1006.2
6702.0,1019.58,1104.54,1157.66,993.97,971.19,987.06,1003.01
6701.0,1012.74,1097.72,1146.14,993.94,969.54,986.39,993.91
6700.0,998.05,1090.73,1145.13,993.92,969.99,987.18,996.64
6699.0,992.08,1091.54,1142.2,993.89,973.67,989.18,1002.16
6696.0,997.43,1087.93,1139.11,993.81,972.7,988.76,1002.88
6694.0,1017.87,1081.6,1152.72,993.76,972.29,987.58,1006.27
6692.0,1016.07,1086.15,1164.24,993.71,975.62,988.6,1014.74
6689.0,1010.42,1090.53,1156.86,993.63,976.46,988.01,1015.79
6688.0,1011.95,1088.73,1146.05,993.61,975.96,986.21,1016.15
6687.0,1004.34,1081.22,1142.39,993.58,974.05,984.56,1015.65
6686.0,1008.38,1083.32,1154.94,993.56,974.45,985.41,1020.02
6685.0,1016.2,1090.6,1158.51,993.53,974.45,985.66,1020.12
6682.0,1019.45,1091.76,1167.51,993.45,974.72,986.73,1023.56
6681.0,1028.02,1099.27,1181.75,993.43,976.24,988.01,1026.22
6680.0,1025.46,1102.8,1174.58,993.4,977.34,991.04,1029.42
6679.0,1021.71,1099.38,1163.95,993.38,976.17,992.02,1028.72
6678.0,1020.55,1091.58,1162.82,993.35,975.17,990.95,1029.35
6675.0,1024.12,1086.38,1169.0,993.28,976.83,991.57,1031.49
6674.0,1022.72,1087.23,1175.02,993.25,978.76,991.31,1031.15
6673.0,1011.13,1083.24,1173.81,993.22,978.35,993.08,1030.91
6672.0,1012.48,1086.74,1173.42,993.2,977.79,991.87,1030.58
6671.0,1009.8,1073.17,1162.38,993.17,977.69,992.66,1031.87
6668.0,1008.12,1069.13,1161.43,993.1,975.97,992.86,1034.25
6667.0,1002.55,1081.99,1165.49,993.07,974.92,991.17,1032.77
6666.0,987.61,1072.78,1155.72,993.05,975.13,993.5,1030.82
6665.0,997.75,1066.87,1168.62,993.02,973.05,993.5,1030.46
6661.0,988.58,1075.32,1169.19,992.92,973.24,994.58,1030.16
6660.0,988.59,1074.71,1167.76,992.89,973.1,994.67,1030.18
6659.0,985.48,1066.31,1161.37,992.87,971.68,993.32,1027.07
6658.0,1000.3,1069.19,1181.47,992.84,971.57,992.49,1025.98
6657.0,998.17,1075.5,1178.71,992.82,971.19,990.64,1022.18
6654.0,1005.73,1060.26,1169.57,992.74,970.81,991.04,1021.58
6653.0,1012.76,1077.22,1191.62,992.71,970.43,990.86,1024.03
6652.0,1030.91,1094.04,1203.09,992.69,966.83,987.11,1022.6
6651.0,1014.11,1094.78,1203.31,992.66,968.22,988.13,1022.5
6650.0,1007.44,1094.54,1197.52,992.64,969.93,988.77,1024.87
6647.0,1020.56,1105.56,1206.11,992.56,970.25,988.31,1027.44
6646.0,1033.79,1105.15,1208.84,992.53,969.8,988.39,1027.89
6645.0,1038.07,1105.54,1211.02,992.51,967.95,987.99,1027.54
6644.0,1043.8,1110.12,1215.52,992.48,966.57,986.24,1026.89
6643.0,1052.5,1114.59,1214.01,992.46,967.5,985.28,1027.31
6640.0,1043.35,1112.32,1200.61,992.38,966.88,984.36,1026.74
6639.0,1032.04,1101.09,1189.86,992.35,968.27,985.64,1026.66
6638.0,1043.34,1096.52,1184.42,992.33,966.3,984.48,1025.84
6637.0,1034.75,1097.32,1188.51,992.3,965.4,983.84,1027.49
6636.0,1030.69,1091.98,1172.4,992.28,965.62,984.49,1025.74
6633.0,1025.12,1084.18,1177.65,992.2,966.79,984.73,1025.43
6632.0,1033.55,1084.2,1186.75,992.17,965.52,986.17,1026.78
6631.0,1043.82,1097.1,1189.36,992.15,964.05,983.92,1027.57
6630.0,1064.5,1107.57,1204.62,992.12,963.04,982.23,1028.75
6629.0,1060.21,1116.37,1212.4,992.1,962.37,983.57,1028.44
6626.0,1059.91,1107.56,1208.22,992.02,961.67,982.83,1025.48
6625.0,1061.14,1096.47,1194.16,991.99,960.72,980.67,1024.13
6624.0,1059.08,1096.8,1201.96,991.97,959.71,980.0,1023.89
6623.0,1062.75,1100.44,1188.4,991.94,958.86,980.63,1025.09
6622.0,1061.7,1104.94,1194.23,991.91,958.95,980.99,1026.94
6619.0,1061.86,1105.88,1193.09,991.84,960.04,981.96,1026.98
6618.0,1066.6,1102.61,1195.28,991.81,958.96,980.1,1021.64
6617.0,1074.38,1090.6,1179.78,991.79,958.76,979.92,1018.1
6616.0,1067.01,1078.67,1161.09,991.76,958.12,981.5,1021.9
6615.0,1060.46,1076.41,1151.11,991.73,957.38,981.98,1023.52
6612.0,1049.86,1064.74,1141.54,991.66,956.56,982.39,1022.8
6611.0,1060.03,1061.88,1159.7,991.63,955.71,981.29,1031.41
6610.0,1071.27,1087.95,1168.89,991.6,957.37,982.99,1038.75
6609.0,1059.93,1086.91,1171.37,991.58,957.77,984.78,1037.78
6608.0,1094.32,1089.1,1200.99,991.55,957.27,982.94,1039.26
6605.0,1098.38,1120.67,1220.21,991.48,956.36,981.75,1043.0
6604.0,1107.71,1139.66,1236.06,991.45,957.6,984.34,1047.96
6603.0,1115.54,1139.84,1241.16,991.42,957.79,985.64,1048.84
6602.0,1117.73,1140.23,1234.95,991.4,956.77,985.02,1047.08
6601.0,1127.7,1149.49,1253.06,991.37,955.95,985.8,1048.31
6598.0,1129.6,1156.3,1257.62,991.3,956.31,987.49,1051.95
6597.0,1125.3,1149.57,1249.04,991.27,957.89,988.52,1051.32
6596.0,1137.9,1148.61,1244.86,991.24,959.21,988.1,1049.05
6595.0,1140.98,1147.56,1239.2,991.22,960.44,989.71,1050.33
6594.0,1136.99,1143.37,1226.83,991.19,959.92,988.5,1048.95
6591.0,1130.32,1137.06,1221.58,991.11,959.98,988.78,1049.08
6590.0,1127.11,1132.11,1217.05,991.09,959.65,988.89,1051.94
6589.0,1127.42,1133.55,1212.68,991.06,960.55,990.15,1053.11
6588.0,1122.87,1128.2,1208.44,991.04,960.91,990.73,1053.14
6587.0,1106.6,1130.78,1202.0,991.01,959.88,989.85,1051.22
6584.0,1106.06,1126.8,1199.82,990.93,959.32,989.99,1051.27
6583.0,1104.8,1120.52,1189.85,990.91,958.34,989.58,1049.29
6582.0,1096.61,1116.09,1190.32,990.88,958.86,989.57,1049.31
6581.0,1104.88,1115.86,1197.09,990.86,960.23,990.36,1052.72
6580.0,1111.84,1113.96,1198.65,990.83,962.06,993.27,1054.65
6577.0,1104.37,1113.36,1193.41,990.75,962.43,992.9,1055.19
6576.0,1104.96,1106.93,1185.84,990.73,960.68,993.29,1053.79
6575.0,1081.19,1098.89,1178.38,990.7,959.07,993.26,1051.72
6574.0,1079.48,1094.43,1172.78,990.68,957.99,991.66,1049.39
6570.0,1079.52,1088.59,1155.18,990.57,957.89,994.89,1049.76
6569.0,1085.48,1090.16,1150.81,990.55,957.59,994.77,1048.97
6568.0,1084.52,1088.25,1142.56,990.52,958.26,996.29,1048.36
6563.0,1072.05,1086.47,1138.16,990.39,956.96,993.63,1046.65
6562.0,1076.93,1087.03,1132.03,990.37,955.9,993.39,1046.91
6561.0,1074.81,1084.55,1130.44,990.34,955.13,992.84,1046.45
6560.0,1075.02,1084.92,1129.84,990.32,956.05,995.32,1047.96
6559.0,1077.16,1088.47,1128.08,990.29,958.86,999.16,1049.34
6556.0,1060.94,1079.85,1117.41,990.21,958.98,999.78,1048.68
6555.0,1066.51,1076.11,1119.81,990.19,959.08,999.37,1047.32
6554.0,1060.04,1079.21,1117.64,990.16,958.54,998.69,1046.08
6553.0,1060.38,1078.77,1111.85,990.13,958.47,997.85,1044.61
6552.0,1050.84,1077.73,1118.67,990.11,959.42,998.82,1044.76
6549.0,1058.49,1074.12,1110.42,990.03,957.9,998.48,1044.39
6548.0,1054.18,1069.48,1101.22,990.01,957.82,998.29,1044.97
6547.0,1054.42,1066.9,1101.8,989.98,957.78,999.4,1046.23
6546.0,1059.84,1069.42,1116.6,989.95,956.48,998.04,1044.99
6545.0,1057.33,1072.35,1120.43,989.93,954.77,997.34,1043.45
6542.0,1052.23,1072.08,1115.0,989.85,954.84,999.14,1043.85
6541.0,1059.19,1075.8,1119.37,989.82,954.76,995.49,1042.52
6540.0,1068.12,1070.44,1137.82,989.8,956.09,995.52,1042.77
6539.0,1085.55,1070.54,1142.35,989.77,957.04,997.59,1045.0
6538.0,1089.74,1065.5,1140.4,989.75,955.73,997.75,1044.44
6535.0,1084.31,1067.25,1149.3,989.67,956.31,997.47,1042.35
6534.0,1091.03,1064.32,1147.64,989.64,956.38,998.39,1041.98
6533.0,1087.3,1062.76,1151.47,989.62,953.19,998.31,1042.0
6532.0,1087.86,1061.37,1146.36,989.59,952.47,997.25,1039.13
6531.0,1081.01,1056.02,1132.98,989.56,951.94,996.14,1038.08
6528.0,1071.48,1054.82,1133.33,989.49,952.64,995.79,1038.37
6527.0,1059.39,1056.04,1123.36,989.46,953.15,995.17,1036.16
6526.0,1060.86,1048.91,1110.56,989.43,952.34,995.98,1033.99
6525.0,1076.29,1053.89,1117.02,989.41,951.72,994.25,1033.3
6524.0,1074.53,1055.59,1121.47,989.38,952.12,993.3,1033.17
6521.0,1078.02,1057.6,1126.13,989.3,953.71,993.48,1032.15
6520.0,1086.33,1058.46,1130.87,989.28,951.93,996.28,1033.16
6519.0,1098.21,1062.13,1131.64,989.25,951.65,998.68,1034.36
6518.0,1106.14,1060.3,1131.52,989.23,950.91,998.91,1035.53
6517.0,1096.71,1060.29,1128.36,989.2,950.36,997.52,1039.58
6514.0,1090.04,1059.67,1124.03,989.12,949.01,996.02,1040.56
6513.0,1092.69,1058.6,1125.03,989.09,948.72,995.84,1045.86
6511.0,1100.56,1055.54,1117.62,989.04,950.12,994.3,1042.42
6510.0,1097.02,1054.46,1114.34,989.02,950.42,993.87,1042.67
6507.0,1087.06,1054.46,1109.58,988.94,949.97,991.34,1039.2
6506.0,1075.47,1050.29,1107.74,988.91,949.52,989.8,1036.69
6505.0,1072.62,1049.25,1113.08,988.89,949.13,989.08,1038.85
6504.0,1070.42,1052.92,1112.38,988.86,950.21,990.11,1040.98
6503.0,1081.21,1052.31,1114.69,988.83,950.13,991.63,1041.95
6500.0,1080.51,1054.9,1118.13,988.76,949.44,990.69,1042.56
6499.0,1080.59,1053.81,1115.62,988.73,951.7,993.58,1044.96
6498.0,1092.46,1052.44,1124.62,988.7,951.08,992.73,1044.0
6497.0,1098.01,1051.0,1123.47,988.68,951.69,994.65,1043.81
6496.0,1107.42,1052.19,1129.0,988.65,952.1,993.7,1043.34
6493.0,1104.97,1051.33,1123.72,988.57,951.23,993.59,1043.09
6492.0,1108.59,1049.3,1119.86,988.55,948.94,991.58,1042.24
6491.0,1112.26,1049.63,1115.99,988.52,948.16,990.63,1040.54
6490.0,1100.25,1048.23,1111.66,988.5,946.66,990.65,1040.02
6489.0,1095.01,1044.29,1100.73,988.47,945.64,990.22,1039.46
6486.0,1089.27,1044.74,1103.15,988.39,944.87,989.73,1039.5
6485.0,1084.26,1045.61,1102.83,988.37,948.06,990.29,1041.69
6484.0,1077.63,1043.08,1102.01,988.34,948.55,990.49,1041.26
6483.0,1087.34,1042.45,1097.6,988.31,948.43,990.44,1040.27
6482.0,1088.17,1040.13,1084.92,988.29,948.55,991.03,1039.29
6479.0,1083.82,1038.22,1083.8,988.21,948.35,991.35,1039.02
6478.0,1074.39,1034.39,1075.29,988.18,948.88,990.62,1036.89
6477.0,1072.06,1032.24,1080.71,988.16,949.23,991.04,1036.01
6476.0,1074.66,1029.47,1082.06,988.13,951.01,994.45,1039.66
6475.0,1077.9,1032.17,1089.4,988.11,951.22,994.97,1039.48
6472.0,1086.74,1034.74,1101.99,988.03,949.07,993.31,1040.03
6471.0,1083.21,1032.75,1107.31,988.0,947.81,992.8,1038.64
6470.0,1092.73,1036.63,1110.8,987.98,949.31,993.07,1040.03
6469.0,1092.67,1035.41,1108.57,987.95,948.61,993.54,1041.9
6468.0,1091.67,1032.83,1111.53,987.93,951.66,993.85,1043.86
6465.0,1090.11,1031.48,1101.8,987.85,953.09,994.74,1044.27
6464.0,1093.98,1029.43,1099.73,987.82,952.91,995.17,1043.71
6463.0,1093.0,1030.84,1099.27,987.8,953.24,996.22,1044.0
6462.0,1094.52,1031.55,1101.62,987.77,953.54,997.08,1043.8
6461.0,1095.39,1028.58,1098.83,987.74,954.78,1000.27,1045.37
6458.0,1085.71,1020.44,1091.52,987.67,954.92,1002.61,1046.71
6457.0,1087.17,1020.45,1090.54,987.64,955.41,1003.09,1045.38
6456.0,1093.34,1017.73,1084.15,987.61,954.3,1000.71,1042.78
6455.0,1096.78,1015.61,1085.59,987.59,952.38,1001.72,1042.1
6454.0,1097.35,1019.67,1084.14,987.56,950.27,998.55,1039.67
6451.0,1099.87,1020.83,1091.29,987.48,949.32,998.15,1039.71
6450.0,1096.2,1017.96,1087.97,987.46,949.79,999.68,1039.32
6449.0,1096.39,1012.23,1087.52,987.43,949.51,998.77,1036.55
6448.0,1087.11,1010.96,1081.41,987.41,950.69,999.69,1034.32
6447.0,1099.85,1011.46,1084.86,987.38,949.83,998.27,1033.47
6444.0,1081.17,1010.66,1085.14,987.3,949.28,997.83,1034.38
6443.0,1076.56,1008.33,1082.5,987.28,949.57,997.28,1032.83
6442.0,1055.72,1009.46,1076.3,987.25,948.49,997.81,1030.44
6441.0,1055.6,1010.82,1073.45,987.22,947.84,996.3,1029.88
6440.0,1052.53,1004.72,1065.45,987.2,948.64,997.65,1029.81
6437.0,1046.2,1003.88,1061.74,987.12,947.48,997.0,1029.02
6436.0,1044.17,1006.62,1065.14,987.09,945.81,996.19,1028.38
6435.0,1052.88,1014.8,1062.32,987.07,944.48,995.29,1027.71
6433.0,1050.32,1013.86,1056.21,987.02,944.1,996.47,1026.22
6430.0,1048.46,1006.9,1046.42,986.94,943.01,997.34,1024.08
6429.0,1052.58,1008.04,1058.46,986.91,944.12,996.32,1024.63
6428.0,1061.3,1017.66,1069.76,986.89,945.03,995.4,1026.37
6427.0,1068.1,1019.92,1078.34,986.86,945.64,992.99,1027.27
6426.0,1056.12,1022.19,1075.43,986.83,945.63,993.94,1026.85
6423.0,1052.69,1020.35,1068.08,986.76,945.29,993.33,1026.23
6422.0,1048.44,1020.77,1065.15,986.73,946.23,994.67,1027.26
6421.0,1050.9,1021.35,1070.37,986.7,945.29,992.6,1024.7
6420.0,1057.35,1021.3,1069.43,986.68,944.51,992.72,1022.71
6419.0,1053.55,1016.96,1066.86,986.65,944.95,990.24,1021.68
6416.0,1049.37,1016.62,1063.9,986.57,945.92,990.16,1020.81
6415.0,1046.1,1018.1,1069.3,986.55,946.74,990.08,1021.66
6414.0,1049.26,1017.27,1063.24,986.52,945.7,989.94,1020.86
6413.0,1042.62,1016.67,1062.63,986.5,946.14,988.86,1018.69
6412.0,1040.06,1013.99,1064.9,986.47,947.35,992.34,1020.36
6409.0,1042.59,1015.81,1061.19,986.39,946.27,992.88,1022.63
6408.0,1047.66,1017.94,1060.4,986.37,946.61,991.08,1020.7
6407.0,1052.51,1015.7,1061.03,986.34,946.76,990.72,1019.89
6406.0,1048.63,1011.52,1054.5,986.32,947.31,990.11,1018.12
6405.0,1051.91,1011.02,1052.83,986.29,945.82,988.02,1016.28
6402.0,1044.38,1010.8,1048.7,986.21,945.57,986.91,1015.04
6401.0,1043.15,1005.6,1042.91,986.19,944.35,986.34,1013.26
6400.0,1035.93,1003.69,1032.64,986.16,944.41,987.21,1013.03
6399.0,1020.44,995.63,1021.88,986.13,944.53,984.85,1008.38
6398.0,1021.94,996.3,1013.62,986.11,944.1,985.4,1007.85
6395.0,1019.94,994.49,1007.34,986.03,942.23,983.95,1004.49
6394.0,1022.65,992.54,1010.51,986.0,941.55,984.86,1005.96
6393.0,1024.31,997.69,1013.09,985.98,944.57,988.63,1010.01
6392.0,1020.34,997.0,1010.08,985.95,945.46,988.59,1012.52
6391.0,1031.81,997.78,1016.78,985.93,945.41,988.29,1012.53
6388.0,1024.86,995.83,1012.96,985.85,943.61,989.48,1013.61
6387.0,1033.85,997.29,1015.81,985.82,942.55,991.19,1014.64
6386.0,1032.88,1002.89,1013.81,985.8,944.05,994.88,1016.95
6385.0,1041.04,996.08,1017.82,985.77,944.52,996.04,1018.37
